,Pulse Rate,Body,SpO2,EEG A1-A2,EEG C3-A2,EEG C4-A1,Effort THO,Effort ABD,Tracheal
1330,53.0,6.0,95.89999999999999,18.344899671930996,34.23967345693138,31.641489280537087,1.3656824597543298,1.5121690699626154,0.0006256198977645532
1331,53.0,6.0,95.8,3.978469520103727,28.431967650873545,46.466422522316286,-2.1499961852445257,-1.2252994583047228,0.0016327153429465172
1332,53.0,6.0,95.6,33.1698329137102,26.750789654383123,17.427893492027128,-1.9577325093461508,-1.206988632028687,0.0027313649195086593
1333,53.0,6.0,95.19999999999999,17.122224765392506,39.8945448996719,51.05145342183563,-1.573205157549401,-0.9414816510261692,0.0004730296787975891
1334,53.0,6.0,94.99999999999999,20.331746395056044,42.95123216601813,49.82877851529714,2.7939269092851147,1.0177767605096513,0.0009613183794918746
1335,53.0,6.0,94.6,9.786175326161558,23.694102388036892,45.85508506904704,0.12054627298390173,0.8346684977492943,0.000869764248111696
1336,53.0,6.0,94.6,9.633340962844247,45.54941634241242,40.811551079575764,-1.9668879224841687,-1.4724956130312048,0.001052872510872053
1337,52.0,6.0,94.3,26.750789654383123,18.344899671930996,15.899549858854014,-0.950637064164187,-0.5111772335393301,0.0011139085984588387
1338,52.0,6.0,94.1,19.261905851834864,22.624261844815713,20.790249485007976,-0.49286640726329445,-0.2639810788128481,0.0006866559853513389
1339,52.0,6.0,94.1,-4.733089188983021,36.073685816739115,92.92806897077895,2.7939269092851147,0.4409857328145266,0.0007476920729381246
1340,52.0,6.0,94.1,23.846936751354207,61.902693217364735,53.49680323491261,1.841763942931258,2.0523384451056685,0.0006561379415579462
1341,52.0,6.0,94.39999999999999,4.1313038834210385,-7.178439002060003,1.533119707026745,-1.9119554436560617,-0.35553521019302664,0.0014496070801861601
1342,51.0,6.0,94.49999999999999,14.21837186236359,30.87731746395053,47.68909742885478,-1.3076981765468834,-0.648508430609598,0.0007171740291447319
1343,51.0,6.0,94.49999999999999,32.25282673380633,54.108140688181855,33.475501640344824,-1.1795223926146334,0.028992141603723202,0.00044251163500419623
1344,51.0,6.0,95.1,44.93807888914318,52.88546578164337,31.33582055390246,3.8651102464332037,0.6698710612649729,0.0004119935912108034
1345,51.0,6.0,95.3,24.30543984130614,34.23967345693138,22.777096208133027,2.024872205691615,2.0614938582436864,0.000289921416037232
1346,51.0,6.0,95.39999999999999,25.37528038452732,14.829709315632835,4.589806973372973,-0.520332646677348,0.48676279850461585,0.0009613183794918746
1347,51.0,6.0,95.6,-4.58025482566571,18.344899671930996,31.641489280537087,-3.3676661326009003,-1.820401312275883,1.5259021896696422e-05
1348,51.0,6.0,95.6,14.829709315632835,17.886396581979064,29.65464255741204,-1.8478675516899368,-1.0421911955443657,0.0009002822919050889
1349,51.0,6.0,95.49999999999999,39.8945448996719,46.6192568856336,15.44104676890208,2.34531166552224,2.3270008392462045,0.0007171740291447319
1350,51.0,6.0,95.39999999999999,20.94308384832529,18.80340276188293,24.763942931258075,5.256733043411917,3.590447852292668,0.0017242694743266956
1351,52.0,6.0,95.19999999999999,-39.57932402533002,-1.5235675593194824,57.011993591210775,4.698252841992828,4.963759822995346,0.0004119935912108034
1352,52.0,6.0,95.1,30.11314564736397,19.720408941786797,14.21837186236359,-1.2710765239948119,-0.4654001678492409,0.001266498817425803
1353,52.0,6.0,94.89999999999999,50.44011596856638,49.217441062027895,15.288212405584769,-3.5324635690852215,-1.8478675516899368,0.0009613183794918746
1354,52.0,6.0,94.6,18.80340276188293,43.715403982604684,45.2437476157778,2.2079804684519724,3.2425421530479897,0.0006866559853513389
1355,52.0,6.0,94.6,53.955306324864544,43.715403982604684,9.93900968947887,11.77538719768063,11.711299305714503,0.0011444266422522317
1356,52.0,6.0,94.6,-118.44185549706268,-48.749385824368694,96.29042496375979,-1.2344548714427406,-0.9872587167162585,-0.0007171740291447319
1357,53.0,6.0,94.6,23.694102388036892,28.279133287556235,24.763942931258075,-3.340199893186847,-1.0055695429922942,0.0013275349050125887
1358,54.0,6.0,94.6,71.98976119630728,42.33989471274888,0.1576104371709426,-7.496757457846952,-4.411383230334936,0.0007171740291447319
1359,54.0,6.0,94.49999999999999,2.6029602502479245,1.2274509803921223,16.81655603875788,4.487678339818418,2.6291294728007935,0.0010223544670786603
1360,54.0,6.0,94.3,-19.863691157396847,-3.9689173723964646,34.85101091020062,-1.3534752422369727,-0.49286640726329445,0.0005951018539711605
